mat.,status,V,1.rok,K1,K2,status2
243099604, RED ,70,,95,65,78.0
243106127, RED ,80,,95,70,82.0
243106933, IZV ,,,,,nopp
36802, IZV ,,,,,nopp
55464985, RED ,,,,,nopp
23116448, RED ,,,,,nopp
177047436, IZV ,50,,0,0,1
18136861, RED ,,,,,nopp
243095694, IZV ,,,,,nopp
23113883, IZV ,50,50,,,50.0
243106223, RED ,55,,62,45,53.8
243106398, RED ,,,,,nopp
243106239, RED ,,,,,nopp
23115120, RED ,90,75,62,,78.0
